"nro_corrida","cant_grupos","cant_pasajeros","tpo_cola_taquilla_prom","tpo_cola_taquilla_min","tpo_cola_taquilla_max","tpo_cola_taquilla_p50","tpo_cola_maquina_prom","tpo_cola_maquina_min","tpo_cola_maquina_max","tpo_cola_maquina_p50","tpo_cola_torniquete_prom","tpo_cola_torniquete_min","tpo_cola_torniquete_max","tpo_cola_torniquete_p50","max_area_taquilla","max_area_maquina","max_area_torniquete","tpo_sistema_prom","tpo_sistema_min","tpo_sistema_max","tpo_sistema_p50","porcentaje_ocup_taquilla","porcentaje_ocup_maquina","porcentaje_ocup_torniquete"
38,10320,35955,0.2357,0.0,3.4033,1.6567,87.0221,34.9761,136.9129,173.94,2.1229,0.0,8.0606,0.6109,18,1344,261,0.6744,0.2036,6.5278,1.0887,48.6061,100.0256,97.3794
39,10223,35401,0.2393,0.0,3.123,0.5413,79.2345,33.8122,121.8413,81.6114,1.5398,0.0,7.906,1.1294,16,1217,275,0.6781,0.0204,5.1218,0.5529,49.4247,100.0453,96.4121
40,10139,35656,0.2348,0.0,3.3946,1.4386,94.7088,36.4172,149.8571,190.2884,1.7853,0.0,7.8874,1.8358,16,1483,288,0.6754,0.2034,6.6288,1.2156,48.3496,100.0611,95.9781
41,10378,36114,0.2703,0.0,2.8756,1.3886,85.3687,33.3565,146.5627,167.3949,1.3662,0.0,6.5481,6.3578,19,1504,216,0.6758,0.1073,6.2331,0.6368,51.8704,100.0205,96.7677
42,10324,36073,0.2513,0.0,3.4657,1.5146,109.941,56.3066,143.1728,119.7127,2.1891,0.0,8.1037,3.1589,17,1438,270,0.6763,0.0528,5.9127,1.1971,51.6011,100.0012,98.9072
43,10180,35870,0.2246,0.0,2.7481,0.0,85.3188,33.4741,137.4007,91.9061,1.8985,0.0,7.2682,1.9366,14,1470,264,0.6756,0.0289,7.4928,0.6097,49.035,100.067,96.6362
44,10227,36245,0.2607,0.0,2.6313,0.234,84.8957,30.6008,128.8595,170.5917,1.8708,0.0,6.919,0.9231,17,1316,217,0.6729,0.1799,5.3454,0.7729,50.1071,100.013,97.9607
45,10341,36286,0.2498,0.0,3.8776,0.3189,85.9352,20.2932,156.4638,183.0421,3.728,0.0,10.1323,15.143,19,1548,330,0.673,0.1033,6.5283,0.6751,48.2675,99.9948,97.5449
46,10159,35401,0.2506,0.0,2.9086,0.1242,63.954,23.5527,108.1895,140.5295,1.2011,0.0,5.9196,1.4933,25,1057,206,0.6773,0.1208,5.4184,0.8491,49.1295,100.0039,96.2448
47,10321,35963,0.2211,0.0,2.4449,0.0,61.6194,21.7679,115.9455,130.183,2.3336,0.0,7.7347,0.3366,14,1186,268,0.6718,0.2028,6.7453,0.3549,47.5128,100.0118,97.2697
