"nro_corrida","cant_grupos","cant_pasajeros","tpo_cola_taquilla_prom","tpo_cola_taquilla_min","tpo_cola_taquilla_max","tpo_cola_taquilla_p50","tpo_cola_maquina_prom","tpo_cola_maquina_min","tpo_cola_maquina_max","tpo_cola_maquina_p50","tpo_cola_torniquete_prom","tpo_cola_torniquete_min","tpo_cola_torniquete_max","tpo_cola_torniquete_p50","max_area_taquilla","max_area_maquina","max_area_torniquete","tpo_sistema_prom","tpo_sistema_min","tpo_sistema_max","tpo_sistema_p50","porcentaje_ocup_taquilla","porcentaje_ocup_maquina","porcentaje_ocup_torniquete"
79,10379,35902,0.1398,0.0,2.0522,0.0,1.4209,0.0,5.627,0.9212,0.2005,0.0,1.4474,0.0785,13,75,69,0.69,0.2061,5.611,0.3252,38.2789,91.4189,80.2893
80,10291,35774,0.1303,0.0,2.5699,0.0,1.6896,0.0,9.0724,1.4251,0.1907,0.0,1.5527,0.1615,16,106,59,0.6892,0.1799,5.851,0.9714,36.6786,91.394,80.2408
81,10164,35584,0.1355,0.0,2.4882,0.3,1.0983,0.0,6.6414,0.8114,0.1665,0.0,2.0915,0.1432,16,74,100,0.6855,0.1913,5.5106,0.8849,36.6244,90.0484,78.579
82,10230,35416,0.1389,0.0,2.7701,0.9234,1.1715,0.0,6.1757,3.7212,0.1737,0.0,1.6939,0.2083,15,77,76,0.6856,0.204,5.8959,1.6056,36.7304,89.5766,78.0607
83,10301,36440,0.1395,0.0,2.566,0.9039,3.3758,0.0,13.1592,4.3641,0.2368,0.0,2.0288,0.0,13,154,89,0.6893,0.2033,6.171,3.2631,36.6683,94.0279,81.1969
84,10324,36165,0.1358,0.0,2.4837,0.0934,1.9834,0.0,9.4328,0.0,0.2187,0.0,1.6984,0.0167,13,106,74,0.6904,0.2056,6.235,0.7521,37.5448,93.3833,80.4784
85,10308,35805,0.1486,0.0,2.2403,0.0,1.4324,0.0,9.0959,0.0546,0.1754,0.0,1.7129,0.0,14,95,62,0.6896,0.1331,5.9137,0.9602,38.7915,90.6434,79.1329
86,10335,35680,0.1431,0.0,2.2262,0.0,1.9325,0.0,10.9007,0.2395,0.1904,0.0,1.836,0.0,14,125,80,0.6925,0.2033,6.6387,0.3371,37.8625,92.3074,79.1708
87,10136,35436,0.1529,0.0,2.445,0.0,0.9385,0.0,5.9142,0.0,0.1848,0.0,2.0728,0.0368,12,65,86,0.689,0.202,5.2867,2.1671,38.2885,88.8924,78.8066
88,10263,35750,0.1438,0.0,2.5295,0.103,1.025,0.0,4.4723,0.0,0.1883,0.0,1.9399,0.0,11,58,83,0.6878,0.2051,6.713,2.0685,38.6595,89.485,79.8295
89,10050,35080,0.1381,0.0,2.5956,0.0,0.9557,0.0,5.4117,0.7646,0.2197,0.0,2.2516,0.8157,12,66,97,0.6862,0.1399,6.3142,1.8286,36.9055,88.5281,77.6043
90,10193,35398,0.1368,0.0,2.2402,0.0,1.3825,0.0,7.7146,0.7948,0.1711,0.0,1.393,0.2478,13,83,56,0.6878,0.2045,7.1431,0.2674,37.4984,89.3797,78.5996
91,10454,36319,0.1417,0.0,3.3112,0.2754,1.3662,0.0,5.9698,2.7186,0.2198,0.0,2.1666,0.1732,12,77,92,0.6894,0.204,5.6161,1.4014,37.5021,92.6215,81.4064
92,10155,35537,0.1456,0.0,1.8884,0.0,1.6351,0.0,8.6759,0.0119,0.1809,0.0,1.8407,0.0346,13,99,80,0.6897,0.2032,5.7823,0.2573,38.058,90.6079,78.4974
93,10291,35958,0.1316,0.0,2.5318,0.455,1.1765,0.0,7.4078,0.769,0.2201,0.0,1.7859,0.1096,12,79,79,0.6829,0.206,5.3837,0.4113,37.3008,89.2318,80.2067
94,10152,35810,0.146,0.0,2.2996,0.0,2.1448,0.0,13.5982,0.9591,0.1729,0.0,1.8623,0.1875,13,141,77,0.6903,0.1137,5.103,0.3446,37.7208,91.5663,79.5793
95,10254,36161,0.1538,0.0,2.8798,0.0298,1.4038,0.0,6.636,0.413,0.217,0.0,1.9223,0.4797,16,83,84,0.6858,0.203,5.7507,0.5018,37.5578,90.5392,81.0606
96,10211,35634,0.1372,0.0,2.4061,0.0,1.6029,0.0,6.9117,1.3389,0.1768,0.0,1.3408,0.0408,16,78,63,0.6898,0.2061,6.8652,0.9831,36.7457,91.7675,79.7152
97,10266,36313,0.1239,0.0,2.5664,0.0174,1.6703,0.0,6.1427,5.613,0.1851,0.0,2.0893,0.1114,12,72,85,0.6855,0.1107,5.8186,1.0714,36.2231,93.532,79.9264
98,10212,35417,0.1342,0.0,2.6461,0.0,1.2075,0.0,6.392,0.0,0.1768,0.0,1.629,1.0427,14,78,72,0.6902,0.2024,5.6816,1.4802,36.3206,91.5092,78.7891
99,10169,35115,0.1441,0.0,2.6653,0.398,1.6319,0.0,7.7064,5.2533,0.1845,0.0,2.1714,0.0,12,92,89,0.6929,0.2047,6.8695,1.0374,36.6859,91.6084,78.0797
100,10252,36287,0.1439,0.0,2.356,0.0,1.0534,0.0,6.2472,3.427,0.2452,0.0,2.7252,0.1148,13,64,105,0.686,0.2049,5.4326,1.1041,38.0548,91.1061,80.5494
