"nro_corrida","cant_grupos","cant_pasajeros","tpo_cola_taquilla_prom","tpo_cola_taquilla_min","tpo_cola_taquilla_max","tpo_cola_taquilla_p50","tpo_cola_maquina_prom","tpo_cola_maquina_min","tpo_cola_maquina_max","tpo_cola_maquina_p50","tpo_cola_torniquete_prom","tpo_cola_torniquete_min","tpo_cola_torniquete_max","tpo_cola_torniquete_p50","max_area_taquilla","max_area_maquina","max_area_torniquete","tpo_sistema_prom","tpo_sistema_min","tpo_sistema_max","tpo_sistema_p50","porcentaje_ocup_taquilla","porcentaje_ocup_maquina","porcentaje_ocup_torniquete"
52,10328,35701,0.108,0.0,3.1225,0.0,0.3944,0.0,3.8676,0.0,0.0784,0.0,1.0235,0.0072,12,50,61,0.6871,0.2061,5.2434,0.9394,29.699,77.0083,66.8058
53,10263,36095,0.099,0.0,2.3109,0.0,0.407,0.0,4.4206,0.0,0.0683,0.0,1.1327,0.0,13,58,60,0.6869,0.204,5.7416,1.2407,29.8687,78.4922,66.8214
54,10086,35066,0.1062,0.0,2.2898,0.0,0.3124,0.0,3.1197,0.0468,0.0687,0.0,0.869,0.0,13,50,55,0.6854,0.2009,5.2393,1.5651,29.8711,75.1266,64.9953
55,10183,35943,0.0989,0.0,1.8626,0.0,0.3728,0.0,3.0516,0.5918,0.0686,0.0,1.0239,0.3922,16,49,55,0.6841,0.2035,5.8866,0.6604,29.3702,76.8806,66.3575
56,10270,35728,0.096,0.0,2.9332,0.4009,0.4109,0.0,3.9947,0.1006,0.0787,0.0,0.8298,0.0828,13,59,56,0.6926,0.2068,6.9329,0.518,29.8815,79.0167,66.5556
57,10385,36111,0.0979,0.0,2.0492,0.0,0.3762,0.0,3.3186,0.0155,0.0744,0.0,1.0503,0.0,12,51,62,0.6876,0.206,5.9926,1.3917,30.2831,78.6863,66.5676
58,10205,36230,0.1046,0.0,2.1286,0.0,0.4022,0.0,4.0585,0.0,0.0617,0.0,0.7007,0.0,14,48,46,0.6936,0.1808,5.3274,0.815,30.6423,80.8938,66.858
59,10223,35647,0.1018,0.0,2.6328,0.0,0.3584,0.0,3.3878,0.4472,0.0783,0.0,1.0358,0.0,12,51,56,0.6912,0.2077,5.4625,3.1332,29.2204,78.7465,66.2402
60,10361,36775,0.102,0.0,2.4118,0.0673,0.37,0.0,2.9576,0.0,0.0847,0.0,1.2307,0.0,14,45,63,0.686,0.2038,6.3,0.3278,30.9054,78.837,68.2575
61,10186,35499,0.1051,0.0,2.2095,0.0,0.3866,0.0,3.5662,0.2476,0.0691,0.0,1.0836,0.1306,15,44,56,0.6923,0.1219,5.9509,0.8915,30.9994,78.1458,65.7737
